hour_of_day,is_weekend,is_night_transaction,country,city,merchant_category,payment_method,device_type,customer_age,credit_score,account_age_years,account_balance,transaction_amount,num_prev_transactions,transaction_freq_monthly,distance_from_home_km,time_since_last_txn_hrs,is_international,failed_attempts,pin_changed_recently,is_fraud
11,0,0,USA,Mumbai,Entertainment,Credit Card,Mobile,39,718,2.6,72409.42,51.5,143,18,31.7,1.9,0,0,0,0
7,0,0,Mexico,Rio,Jewelry,Credit Card,Mobile,50,791,12.6,19193.3,1774.94,155,16,1.1,9.24,0,1,0,0
14,0,0,Japan,São Paulo,Gaming,Bank Transfer,Mobile,42,775,4.4,15167.95,38.38,175,27,5.7,3.03,0,0,0,0
23,1,1,UK,London,Grocery,Credit Card,Mobile,34,709,1.3,1664.65,303.71,162,18,72.6,4.91,0,0,0,0
4,1,1,USA,Mexico City,Utilities,Debit Card,Mobile,64,760,6.6,77263.59,9.0,173,22,9.5,3.97,0,0,0,0
19,0,0,France,Vancouver,ATM Withdrawal,Credit Card,Mobile,62,635,0.3,22841.83,137.68,147,21,1.0,7.23,0,0,0,0
22,0,1,USA,London,Clothing,Mobile Payment,Mobile,79,809,2.2,38510.66,75.02,149,16,30.5,9.5,0,3,0,0
4,0,1,UK,Los Angeles,Crypto Exchange,Bank Transfer,ATM,33,590,3.3,5617.12,249.83,158,24,48.6,3.06,0,0,0,0
1,0,1,Canada,London,Jewelry,Mobile Payment,Mobile,49,568,1.7,4910.0,103.75,160,15,11.3,2.32,0,0,0,0
15,0,0,France,Berlin,Gaming,Cheque,ATM,40,754,3.6,23436.05,68.53,163,28,5.6,4.66,0,0,0,0
22,0,1,USA,London,Jewelry,Debit Card,Mobile,19,655,9.7,1808.97,1026.9,142,27,7.8,13.5,0,1,0,0
20,0,0,USA,Delhi,ATM Withdrawal,Credit Card,Desktop,46,610,1.5,31999.06,50.79,158,19,27.1,20.63,0,0,1,0
4,0,1,USA,Lyon,Education,Credit Card,Desktop,60,605,9.8,25858.89,15.19,156,18,20.8,4.24,0,0,0,0
6,0,1,India,New York,Online Shopping,Credit Card,Mobile,18,669,1.2,2715.63,98.86,129,19,7.4,5.71,0,2,0,0
16,0,0,Japan,Los Angeles,Gaming,Debit Card,Desktop,26,698,15.2,40215.58,49.31,171,13,1.7,0.69,0,0,0,0
9,0,0,Mexico,Guadalajara,Crypto Exchange,Mobile Payment,Tablet,56,527,1.6,8648.28,15.34,147,20,22.0,16.64,0,4,0,0
23,1,1,USA,Munich,Crypto Exchange,Mobile Payment,POS Terminal,34,690,1.8,36559.89,34.36,135,17,26.0,11.38,1,3,0,0
21,1,0,USA,Tokyo,Entertainment,Credit Card,Mobile,29,660,4.2,11854.76,52.32,165,16,22.4,1.77,0,0,1,0
20,0,0,Mexico,São Paulo,Travel,Credit Card,Mobile,48,785,11.5,1953.44,529.23,162,16,68.1,18.16,1,2,1,0
16,0,0,Germany,Los Angeles,Travel,Bank Transfer,Mobile,41,801,13.3,4905.78,480.02,149,23,4.0,0.83,1,0,0,0
3,1,1,Germany,Lyon,Grocery,Bank Transfer,Mobile,58,552,6.0,6690.17,56.27,141,17,19.3,34.27,0,0,0,0
23,0,1,Germany,Delhi,Electronics,Credit Card,Tablet,32,574,1.3,5244.67,290.56,148,18,78.9,75.51,0,0,1,0
16,0,0,Japan,Paris,Grocery,Debit Card,Desktop,33,700,15.3,87985.52,556.61,155,24,10.2,22.87,0,0,0,0
21,0,0,UK,Sydney,Education,Cheque,Desktop,43,650,14.4,8001.86,135.44,147,19,23.9,16.22,0,1,0,0
8,0,0,Canada,Guadalajara,Grocery,Credit Card,Tablet,40,525,1.9,1645.43,220.35,144,14,25.5,5.75,0,4,1,0
8,0,0,Canada,Osaka,Gaming,Mobile Payment,Tablet,39,716,4.7,41731.52,53.75,162,18,41.2,1.31,0,0,0,0
15,0,0,Australia,Berlin,Electronics,Bank Transfer,Desktop,18,674,1.2,7599.53,42.11,155,17,12.4,35.98,0,0,0,0
20,1,0,Germany,Melbourne,Grocery,Crypto,Desktop,50,768,5.3,13164.5,36.41,151,23,19.0,22.85,1,0,0,0
6,0,1,India,Berlin,Crypto Exchange,Credit Card,Mobile,66,630,0.7,2840.76,87.87,146,23,6.3,1.55,0,3,0,0
18,0,0,Germany,Paris,Grocery,Mobile Payment,Mobile,40,634,2.1,6381.48,96.66,145,20,2.7,1.09,0,2,0,0
7,0,0,India,Manchester,Education,Debit Card,Tablet,32,584,0.7,4465.77,12.39,150,20,41.7,14.86,0,0,1,0
6,0,1,USA,Osaka,Crypto Exchange,Debit Card,Mobile,56,785,0.1,31442.29,47.3,143,15,31.8,13.17,0,0,0,0
22,0,1,Canada,Paris,Grocery,Debit Card,Mobile,51,722,1.4,5795.57,20.22,138,20,8.7,0.49,0,0,0,0
17,0,0,USA,Mexico City,Gaming,Credit Card,Mobile,51,718,0.1,23030.69,14.71,141,27,0.3,2.67,0,1,0,0
10,1,0,Germany,Guadalajara,Gaming,Bank Transfer,Mobile,19,617,2.6,2934.75,67.3,138,15,6.1,32.81,0,0,0,0
8,0,0,Mexico,Toronto,ATM Withdrawal,Debit Card,Desktop,41,577,13.2,14679.87,21.88,154,26,26.0,15.0,0,5,0,0
19,0,0,Australia,Mexico City,Entertainment,Debit Card,ATM,41,703,1.7,8308.15,58.13,163,24,77.0,21.15,0,0,0,0
16,0,0,Australia,Mexico City,ATM Withdrawal,Debit Card,Tablet,34,850,1.3,7672.24,117.06,154,26,11.1,1.91,0,0,1,0
11,0,0,Japan,São Paulo,Fuel,Credit Card,Mobile,18,659,0.1,22224.02,348.42,161,17,11.8,2.11,0,0,0,0
19,1,0,France,Los Angeles,Electronics,Debit Card,Tablet,33,639,2.3,98987.54,612.8,157,23,5.8,6.14,0,0,0,0
11,1,0,France,Osaka,Jewelry,Credit Card,Desktop,29,850,5.3,3718.05,286.72,152,19,5.0,66.01,0,0,0,0
1,0,1,USA,Sydney,Entertainment,Credit Card,Desktop,34,654,8.4,32836.86,188.12,138,21,33.3,2.99,0,0,0,0
8,1,0,India,Rio,Electronics,Mobile Payment,Mobile,54,725,1.6,3838.41,175.26,143,21,1.9,37.6,0,0,0,0
22,0,1,Canada,Osaka,Fuel,Mobile Payment,Tablet,21,764,3.4,2768.6,37.13,171,18,18.8,14.09,0,2,0,0
11,0,0,USA,Paris,Travel,Bank Transfer,Desktop,23,633,0.6,8510.3,293.24,141,15,18.5,1.17,0,0,0,0
12,1,0,Germany,Berlin,Healthcare,Debit Card,Desktop,67,669,0.9,55390.86,35.7,148,16,45.8,16.66,0,0,0,0
11,0,0,Canada,Tokyo,Entertainment,Bank Transfer,POS Terminal,54,763,5.2,16826.08,56.28,147,12,25.2,12.14,0,0,0,0
14,0,0,USA,Melbourne,Gaming,Debit Card,Mobile,33,595,3.6,2210.29,8.22,155,16,4.7,2.52,0,0,0,0
8,0,0,UK,Los Angeles,Education,Bank Transfer,Desktop,42,541,2.8,26295.02,130.46,154,17,6.2,3.13,0,0,0,0
23,0,1,India,Tokyo,Jewelry,Mobile Payment,Mobile,49,702,1.3,729.3,559.05,136,13,38.7,1.05,0,0,0,0
6,0,1,India,Mexico City,Fuel,Bank Transfer,Desktop,51,747,3.8,15435.84,10.51,147,27,3.5,10.78,0,0,0,0
2,0,1,Canada,Berlin,Jewelry,Mobile Payment,Mobile,40,697,9.3,56444.53,433.92,161,17,44.9,9.99,0,0,1,0
9,1,0,USA,Toronto,Electronics,Debit Card,Desktop,28,572,2.1,4676.73,409.73,167,21,10.3,15.55,0,0,0,0
14,0,0,USA,London,Gaming,Mobile Payment,Tablet,42,609,8.9,6556.96,28.81,150,25,0.9,18.21,0,0,0,0
5,0,1,USA,New York,Grocery,Credit Card,Mobile,32,710,8.4,712.03,15.43,163,25,10.8,32.72,1,0,0,0
18,0,0,USA,Berlin,Restaurant,Bank Transfer,Mobile,18,775,3.5,7144.32,37.77,138,19,41.8,7.47,0,0,0,0
3,0,1,France,Mumbai,Entertainment,Cheque,ATM,48,660,1.5,12836.71,136.66,157,21,7.6,39.37,1,0,0,0
12,1,0,Germany,London,Entertainment,Credit Card,Mobile,38,751,0.4,2419.74,87.86,149,23,39.3,10.19,0,0,0,0
21,0,0,Brazil,Tokyo,Healthcare,Credit Card,Mobile,45,528,1.5,7797.84,54.33,134,21,11.4,10.67,0,0,0,0
4,0,1,Japan,São Paulo,Fuel,Credit Card,Desktop,49,695,12.7,1141.3,19.63,166,23,15.3,12.46,0,0,0,0
13,0,0,USA,Los Angeles,Healthcare,Bank Transfer,ATM,47,734,2.7,5043.58,58.82,150,17,16.5,8.99,0,0,0,0
8,1,0,Australia,Los Angeles,Fuel,Credit Card,Tablet,37,774,0.1,15696.35,128.95,118,29,2.8,40.57,0,1,0,0
5,1,1,Germany,Osaka,Healthcare,Bank Transfer,Mobile,50,631,3.1,37015.92,69.34,163,28,12.3,15.62,1,0,0,0
17,0,0,USA,Toronto,Gaming,Credit Card,Mobile,18,563,0.4,7465.08,500.56,146,18,21.1,7.17,0,0,0,0
13,0,0,Brazil,Rio,ATM Withdrawal,Mobile Payment,Tablet,49,621,5.8,5023.47,22.02,161,19,17.8,22.19,0,0,0,0
20,0,0,USA,Melbourne,Healthcare,Mobile Payment,Mobile,38,619,2.4,13329.53,107.49,172,16,34.9,28.4,0,0,0,0
20,1,0,Japan,Manchester,ATM Withdrawal,Credit Card,POS Terminal,57,753,8.4,4446.04,79.57,138,22,6.7,1.26,0,0,0,0
1,1,1,India,London,Travel,Bank Transfer,Desktop,46,540,1.4,6866.17,1216.75,163,21,2.5,8.71,0,0,0,0
16,1,0,USA,London,Entertainment,Credit Card,Desktop,54,673,6.7,783.77,130.09,149,20,19.1,10.77,0,0,0,0
7,0,0,USA,Lyon,Clothing,Debit Card,Desktop,38,729,0.1,1326.94,42.32,149,16,4.0,0.29,0,0,0,0
12,0,0,India,Sydney,Grocery,Credit Card,Mobile,27,809,1.5,59481.18,90.31,133,14,29.7,7.52,1,0,0,0
23,0,1,Japan,Sydney,Education,Credit Card,Mobile,41,714,3.2,8049.72,121.68,154,25,35.9,25.05,0,0,0,1
8,0,0,France,Osaka,Education,Debit Card,Mobile,41,620,1.7,8399.07,237.02,111,20,16.4,3.76,0,2,0,0
10,0,0,USA,Sydney,Crypto Exchange,Crypto,Tablet,56,750,20.0,12991.51,48.29,134,17,64.7,2.32,1,0,0,0
23,0,1,USA,Guadalajara,Electronics,Credit Card,Mobile,40,671,8.3,13686.7,352.02,144,16,3.3,2.85,0,0,0,0
8,0,0,USA,Guadalajara,Travel,Cheque,Mobile,44,651,4.8,1789.06,961.14,163,26,17.3,69.28,0,0,0,0
11,0,0,Germany,Paris,Online Shopping,Bank Transfer,Tablet,34,799,2.0,11317.91,113.07,149,21,31.1,16.5,0,0,0,0
14,0,0,USA,Manchester,Utilities,Bank Transfer,Desktop,42,803,14.2,59333.46,9.22,126,25,3.1,1.52,0,0,0,0
23,0,1,USA,New York,Jewelry,Debit Card,Tablet,51,654,16.0,11258.91,559.29,155,17,3.2,4.55,0,2,1,0
11,0,0,USA,Berlin,Online Shopping,Bank Transfer,ATM,45,797,2.7,4120.01,21.86,148,21,23.7,11.43,1,0,0,0
3,1,1,India,Sydney,Crypto Exchange,Mobile Payment,Mobile,37,608,9.1,3412.32,14.09,148,19,16.0,11.0,0,0,0,0
0,0,1,Canada,Toronto,Entertainment,Cheque,ATM,18,728,2.8,4789.24,65.64,154,17,43.1,29.58,0,0,0,0
7,0,0,USA,São Paulo,Online Shopping,Cheque,Mobile,52,638,7.1,6672.37,59.14,140,14,46.6,7.32,0,0,0,0
3,0,1,Japan,Toronto,Grocery,Credit Card,Desktop,38,782,0.1,18966.09,53.1,146,19,86.3,2.2,0,0,0,0
14,0,0,USA,Vancouver,Healthcare,Credit Card,Mobile,54,743,9.8,20680.59,158.95,147,14,48.7,26.75,0,1,0,0
6,1,1,Canada,São Paulo,ATM Withdrawal,Debit Card,Mobile,26,692,12.4,8716.02,62.94,142,19,2.4,1.57,0,1,0,0
14,0,0,USA,Los Angeles,Electronics,Credit Card,ATM,33,702,8.3,1315.19,2702.79,159,23,26.5,20.29,1,0,0,0
22,0,1,USA,Los Angeles,Fuel,Debit Card,Mobile,70,736,1.1,5302.26,384.05,170,22,13.2,5.96,0,1,0,0
5,0,1,UK,Manchester,Fuel,Mobile Payment,ATM,43,697,5.8,2160.74,97.5,153,25,3.0,3.82,0,0,0,0
1,0,1,France,Berlin,Gaming,Bank Transfer,Mobile,18,656,3.8,5832.21,95.14,125,21,25.2,6.75,0,0,0,0
19,0,0,UK,Rio,Gaming,Debit Card,Desktop,26,575,1.5,3937.2,24.51,148,20,25.9,6.2,0,2,0,0
12,0,0,Brazil,Guadalajara,Gaming,Cheque,POS Terminal,63,662,4.5,33570.87,162.84,151,24,32.2,17.38,1,0,0,0
17,0,0,Mexico,Mexico City,Restaurant,Bank Transfer,Desktop,50,779,1.8,7215.55,67.23,146,21,2.8,13.03,0,1,1,0
8,0,0,Japan,Rio,Clothing,Bank Transfer,ATM,47,752,4.6,5666.72,31.13,130,19,28.7,2.87,0,1,0,0
5,0,1,Brazil,Munich,Electronics,Mobile Payment,Mobile,33,720,0.5,4817.41,547.97,151,20,15.5,3.49,0,0,0,0
21,1,0,Germany,Tokyo,Online Shopping,Credit Card,ATM,34,850,29.3,3906.33,110.03,148,23,10.0,21.97,0,0,0,0
8,1,0,Japan,Toronto,Clothing,Credit Card,Desktop,51,819,12.3,790.74,135.55,169,17,3.3,0.71,0,0,0,0
9,0,0,Japan,Guadalajara,Healthcare,Credit Card,ATM,38,707,0.7,6273.47,14.55,144,19,37.3,8.45,0,0,0,0
13,0,0,UK,Lyon,Entertainment,Credit Card,Desktop,48,608,2.0,14968.05,166.91,145,16,47.8,9.34,1,0,0,0
13,0,0,Canada,São Paulo,Education,Debit Card,Mobile,45,804,4.2,2263.47,43.07,122,19,8.1,0.74,0,0,0,0
22,0,1,Canada,Guadalajara,Online Shopping,Credit Card,Desktop,43,567,2.3,3587.8,291.65,154,30,11.9,7.67,0,0,0,0
20,0,0,Germany,Vancouver,Entertainment,Credit Card,ATM,64,715,0.6,3282.24,24.23,148,19,1.1,8.4,0,0,0,0
7,1,0,Japan,Rio,Fuel,Credit Card,ATM,36,539,2.5,2028.47,75.9,146,23,3.4,4.67,0,0,0,0
0,0,1,Australia,Munich,Gaming,Credit Card,Mobile,44,711,3.1,58720.61,77.03,134,20,1.2,14.17,0,0,0,0
13,0,0,USA,New York,Online Shopping,Debit Card,Desktop,44,709,14.2,1675.89,32.55,156,19,2.1,5.36,0,2,0,0
19,0,0,Brazil,Osaka,Gaming,Bank Transfer,Tablet,50,773,14.5,14449.84,26.62,135,26,2.7,5.11,0,0,0,0
6,0,1,USA,New York,ATM Withdrawal,Debit Card,Desktop,29,850,5.7,14281.47,13.02,136,21,10.5,2.05,0,0,0,0
0,0,1,USA,Guadalajara,Online Shopping,Credit Card,Desktop,52,777,1.4,15237.66,66.98,156,14,17.6,38.43,0,0,1,0
8,0,0,USA,New York,Utilities,Mobile Payment,Mobile,60,639,22.0,4231.59,77.51,137,25,136.7,5.69,0,0,0,0
13,1,0,USA,Mumbai,Fuel,Debit Card,Mobile,40,628,3.7,11636.0,80.01,160,18,9.4,9.76,1,1,0,0
12,1,0,USA,London,Online Shopping,Debit Card,Mobile,43,692,11.0,1079.2,109.72,147,17,11.9,4.84,0,0,0,0
14,0,0,Brazil,Lyon,ATM Withdrawal,Mobile Payment,ATM,42,698,4.2,23150.37,191.64,154,24,26.0,15.02,1,0,0,0
3,0,1,USA,Berlin,Electronics,Mobile Payment,Mobile,38,826,0.3,20464.38,475.35,149,19,8.0,4.6,0,0,0,0
23,0,1,USA,Toronto,Utilities,Bank Transfer,Desktop,43,741,0.2,2789.3,39.95,153,16,3.2,6.72,0,0,0,0
3,0,1,Germany,Los Angeles,ATM Withdrawal,Debit Card,Desktop,55,582,2.5,775.24,26.24,155,16,39.4,8.03,0,0,0,0
0,1,1,USA,Lyon,Travel,Mobile Payment,Desktop,74,549,1.1,6605.87,2144.17,144,27,18.0,0.35,0,0,0,0
10,0,0,UK,Paris,Education,Mobile Payment,POS Terminal,42,620,4.8,26986.87,48.34,146,25,47.0,5.59,0,0,0,0
18,1,0,Australia,Rio,ATM Withdrawal,Cheque,Mobile,40,595,6.6,10430.97,56.16,150,17,22.9,0.08,0,0,0,0
8,1,0,Japan,Mumbai,Healthcare,Mobile Payment,Mobile,45,754,19.5,6773.1,100.28,132,19,38.0,1.97,1,0,0,0
17,0,0,Mexico,Toronto,Utilities,Crypto,ATM,37,553,6.0,2242.58,47.55,134,20,84.5,20.61,0,0,0,0
19,0,0,USA,Manchester,Crypto Exchange,Debit Card,Desktop,38,698,8.1,48021.11,74.39,128,17,3.4,1.89,0,0,0,0
6,0,1,USA,Guadalajara,Clothing,Credit Card,Desktop,56,662,0.4,17577.23,27.31,146,20,3.6,20.07,0,0,0,0
18,1,0,India,London,Clothing,Bank Transfer,Desktop,37,701,7.0,101905.3,140.34,156,17,56.0,8.85,0,0,0,0
4,1,1,India,Paris,Fuel,Debit Card,Desktop,53,477,2.0,7956.66,16.11,153,18,8.6,6.25,0,0,0,0
8,0,0,USA,Manchester,Education,Crypto,Mobile,27,643,5.3,37413.65,30.58,147,23,8.0,0.32,0,0,0,0
3,0,1,USA,Guadalajara,Electronics,Bank Transfer,Mobile,46,590,9.7,7895.87,842.01,143,19,28.7,6.93,0,0,0,0
7,0,0,France,Vancouver,Entertainment,Mobile Payment,Mobile,51,792,4.6,158144.26,38.87,148,20,38.2,0.45,1,0,0,0
10,0,0,USA,Lyon,Clothing,Cheque,Mobile,40,664,0.7,19633.77,131.71,180,21,10.1,2.73,0,0,1,0
22,0,1,USA,Melbourne,Education,Mobile Payment,Mobile,45,741,1.8,6895.66,75.02,150,26,8.8,1.74,0,0,0,0
18,0,0,Brazil,Vancouver,Gaming,Debit Card,ATM,39,537,0.4,1130.86,119.35,145,25,15.4,4.83,0,4,1,0
5,0,1,India,Los Angeles,Fuel,Credit Card,Mobile,48,735,16.4,47411.99,25.42,135,20,25.3,12.36,0,0,0,0
17,0,0,USA,Paris,ATM Withdrawal,Crypto,POS Terminal,48,770,3.3,3126.35,82.9,147,17,42.2,13.77,0,0,0,0
22,0,1,Germany,Mumbai,Education,Bank Transfer,Mobile,32,557,9.3,47469.67,23.05,145,25,14.8,4.17,0,2,0,1
18,0,0,India,Rio,Entertainment,Debit Card,Mobile,36,713,0.4,2251.58,179.78,147,14,10.7,58.62,1,0,0,0
18,1,0,Germany,Rio,Crypto Exchange,Crypto,Mobile,18,714,0.5,27053.98,209.66,162,28,5.9,30.75,0,0,0,0
17,0,0,Brazil,Vancouver,Electronics,Bank Transfer,Tablet,58,720,2.5,5137.71,473.31,144,14,19.8,12.28,0,0,0,0
23,0,1,India,Melbourne,Education,Debit Card,Desktop,44,649,4.9,18652.78,52.0,153,14,30.4,6.08,0,1,0,0
8,0,0,Mexico,Osaka,Online Shopping,Credit Card,Desktop,26,640,0.3,21132.88,170.59,131,16,3.0,20.78,0,0,0,0
0,1,1,Brazil,Delhi,Fuel,Credit Card,Desktop,57,743,6.1,25810.83,29.27,152,20,25.8,16.49,1,0,1,0
8,0,0,USA,Tokyo,Fuel,Credit Card,ATM,35,623,0.4,9068.53,84.97,147,19,13.9,4.62,0,0,0,0
19,0,0,USA,Toronto,Fuel,Mobile Payment,Mobile,35,637,16.5,4790.53,138.96,134,10,43.9,1.5,0,0,0,0
4,0,1,Germany,London,Entertainment,Bank Transfer,Desktop,55,782,0.7,13597.68,226.24,152,23,26.0,5.86,0,0,0,0
12,1,0,UK,Lyon,Crypto Exchange,Debit Card,Mobile,33,536,0.4,9171.15,112.17,134,11,11.6,24.51,0,0,0,0
7,0,0,Australia,Munich,ATM Withdrawal,Mobile Payment,Desktop,38,796,8.4,3090.35,196.2,140,23,4.9,3.73,0,0,1,0
14,0,0,Germany,Paris,Entertainment,Debit Card,Desktop,36,562,2.6,4733.28,165.07,148,15,8.1,5.39,0,0,0,0
23,0,1,Germany,Berlin,Travel,Debit Card,POS Terminal,46,598,1.9,5860.94,145.02,139,17,5.3,1.07,1,0,0,0
7,0,0,USA,Mexico City,Travel,Debit Card,Mobile,26,713,10.9,7984.73,85.13,125,22,31.0,16.92,0,3,0,0
19,0,0,USA,Sydney,Online Shopping,Credit Card,Desktop,25,633,0.1,405.85,61.74,130,24,42.3,4.73,0,0,0,0
8,0,0,USA,Mumbai,ATM Withdrawal,Bank Transfer,POS Terminal,42,815,8.4,8196.93,19.63,137,19,2.1,8.42,0,0,0,0
17,0,0,USA,São Paulo,Jewelry,Debit Card,Mobile,34,492,8.8,5071.53,40.18,137,23,9.4,5.12,0,0,0,0
0,1,1,Australia,Tokyo,Gaming,Debit Card,ATM,32,641,2.5,786.65,47.93,149,17,0.3,4.81,0,0,0,0
6,1,1,UK,Sydney,Clothing,Crypto,POS Terminal,56,662,10.0,1422.87,6.1,162,14,6.0,11.08,0,3,0,0
1,1,1,Canada,New York,Healthcare,Credit Card,Mobile,31,621,2.8,16835.38,54.09,138,20,29.6,29.42,1,0,0,0
6,0,1,India,Rio,Grocery,Bank Transfer,Mobile,45,709,1.3,6460.42,28.07,159,19,13.7,12.39,0,0,1,1
19,0,0,Brazil,São Paulo,Restaurant,Credit Card,Desktop,20,564,17.3,4476.75,37.77,168,19,1.6,3.07,0,0,0,0
0,0,1,USA,Paris,Utilities,Bank Transfer,POS Terminal,26,597,1.1,18120.08,30.76,146,14,48.7,3.97,0,0,0,0
21,0,0,USA,Delhi,Restaurant,Credit Card,Mobile,35,670,13.9,70331.54,20.34,123,17,36.7,18.52,0,0,0,0
1,0,1,Australia,Los Angeles,Healthcare,Credit Card,Desktop,24,553,0.3,12226.77,118.23,130,26,18.3,16.67,0,5,0,1
9,1,0,Canada,Delhi,Entertainment,Debit Card,Desktop,34,665,4.2,7575.96,120.38,131,27,94.0,40.91,0,2,0,0
23,0,1,Canada,Paris,Clothing,Credit Card,Desktop,38,518,1.1,68432.46,95.71,137,21,11.5,2.67,0,0,0,0
4,1,1,India,Delhi,Restaurant,Credit Card,Tablet,37,643,0.6,110364.16,59.69,168,18,4.7,6.03,1,0,0,0
1,0,1,France,Lyon,Online Shopping,Debit Card,Mobile,59,663,9.1,4845.07,6.45,147,22,5.9,8.92,0,0,0,0
8,0,0,Brazil,New York,Fuel,Bank Transfer,Tablet,44,622,7.8,10224.8,46.63,166,19,18.2,5.79,0,0,0,0
15,1,0,India,Paris,Crypto Exchange,Debit Card,Mobile,40,729,4.9,1899.7,137.26,164,16,25.4,3.88,0,0,0,0
11,1,0,France,Mumbai,Restaurant,Crypto,POS Terminal,47,715,2.6,38085.15,42.07,143,15,0.8,1.34,0,0,0,0
3,0,1,USA,Toronto,Travel,Credit Card,Mobile,45,670,5.3,6097.64,433.03,162,20,3.1,31.79,0,0,0,0
2,0,1,USA,Mexico City,Healthcare,Debit Card,Desktop,54,751,3.5,15226.8,32.85,144,7,31.4,3.88,0,0,0,0
8,0,0,Mexico,Vancouver,Entertainment,Mobile Payment,POS Terminal,45,587,2.6,16516.16,18.25,145,22,36.7,0.85,0,0,0,0
16,1,0,USA,London,Restaurant,Mobile Payment,Mobile,53,505,9.4,8059.47,139.32,152,25,1.6,43.36,0,0,0,0
9,0,0,Japan,Vancouver,Fuel,Bank Transfer,Desktop,52,642,4.1,2686.16,181.32,140,27,46.9,23.75,0,0,0,0
22,0,1,Canada,Rio,ATM Withdrawal,Debit Card,Mobile,50,604,0.6,7171.87,21.82,155,10,1.1,8.27,0,1,0,0
8,1,0,France,Delhi,Restaurant,Bank Transfer,Desktop,39,678,2.7,11054.67,89.38,132,25,4.5,4.0,1,0,0,0
1,1,1,UK,Sydney,Restaurant,Credit Card,ATM,34,758,3.3,74911.14,59.43,150,28,3.6,4.03,0,0,0,0
17,0,0,Canada,Delhi,Utilities,Credit Card,Mobile,37,767,0.4,6368.12,23.94,135,21,1.7,8.8,0,0,0,0
1,0,1,Mexico,Los Angeles,Grocery,Bank Transfer,Mobile,36,793,11.1,7936.71,71.16,149,19,9.4,6.29,0,1,0,0
5,0,1,Brazil,London,Healthcare,Debit Card,Mobile,43,777,8.8,36165.82,29.93,137,20,15.9,12.59,0,0,0,0
4,0,1,India,Los Angeles,Jewelry,Crypto,Mobile,18,606,5.6,3595.28,104.79,135,27,9.5,0.66,0,0,0,1
21,1,0,Canada,Vancouver,Jewelry,Credit Card,Mobile,58,763,6.5,46279.04,822.42,158,18,45.5,47.73,0,1,0,0
5,1,1,UK,London,Electronics,Debit Card,Mobile,30,732,17.9,2971.43,1072.98,139,18,1.2,11.09,0,0,0,0
16,0,0,Germany,Tokyo,Clothing,Credit Card,Mobile,50,678,1.0,4900.68,89.29,142,17,36.4,5.01,1,0,0,0
15,0,0,USA,Manchester,Crypto Exchange,Cheque,Mobile,30,813,0.9,3193.1,75.83,151,28,30.3,1.23,0,0,0,0
5,1,1,Japan,Rio,Electronics,Crypto,Tablet,41,756,1.3,28624.62,483.29,143,16,51.5,4.73,0,0,0,0
3,0,1,USA,São Paulo,Restaurant,Credit Card,Desktop,66,569,22.7,2577.8,110.12,132,25,10.1,10.04,0,0,0,0
9,1,0,USA,New York,Electronics,Debit Card,Mobile,69,693,0.8,37040.48,215.04,139,11,30.8,17.48,0,0,0,0
9,0,0,Australia,London,Clothing,Crypto,Desktop,56,575,2.5,3752.67,47.66,161,14,12.6,20.7,1,0,0,0
1,0,1,Japan,Guadalajara,Gaming,Credit Card,Mobile,48,712,3.7,1525.46,99.14,165,24,29.7,5.03,1,1,0,0
20,0,0,Germany,Melbourne,Healthcare,Credit Card,Desktop,18,850,2.6,4272.2,14.97,153,26,13.3,9.06,1,0,0,0
2,1,1,India,Lyon,Restaurant,Credit Card,ATM,51,800,1.1,1787.7,72.17,164,15,4.6,1.33,0,0,0,0
0,1,1,USA,Berlin,Online Shopping,Debit Card,POS Terminal,35,751,5.5,1858.76,25.54,153,15,23.3,30.08,0,3,0,0
19,1,0,Brazil,New York,Clothing,Debit Card,Mobile,44,617,0.8,9434.0,542.17,154,23,64.1,3.87,1,1,0,0
10,0,0,Australia,Mexico City,Travel,Credit Card,Mobile,54,706,0.4,2990.06,153.4,157,20,0.1,5.53,0,0,0,0
23,1,1,France,Los Angeles,Clothing,Debit Card,Mobile,18,554,3.0,69568.65,50.68,156,18,25.6,25.67,0,2,1,0
2,0,1,USA,Tokyo,Online Shopping,Credit Card,Mobile,43,669,0.5,6034.38,27.64,147,22,3.3,5.84,0,3,0,0
12,0,0,India,New York,Travel,Mobile Payment,Tablet,51,598,7.7,9868.13,671.92,163,17,8.7,0.11,0,1,0,0
21,0,0,France,Sydney,Electronics,Debit Card,Desktop,59,644,1.6,28818.41,262.29,174,17,0.9,10.5,0,0,0,0
13,0,0,Brazil,Melbourne,Electronics,Bank Transfer,Mobile,54,796,9.0,16656.43,91.08,152,16,4.8,29.41,0,0,0,0
0,1,1,UK,Osaka,Entertainment,Credit Card,Mobile,52,698,3.3,2269.81,17.43,147,17,3.3,0.38,0,0,0,0
1,1,1,Japan,Melbourne,Clothing,Mobile Payment,ATM,46,767,8.0,2252.75,50.1,137,22,3.0,15.11,0,0,0,0
21,0,0,Germany,Osaka,Electronics,Credit Card,ATM,42,548,0.2,7815.0,103.8,128,17,8.2,16.91,0,0,0,0
10,0,0,Japan,London,Clothing,Credit Card,Mobile,43,603,7.5,56387.19,109.92,150,17,36.4,9.73,0,0,0,0
20,0,0,USA,London,Restaurant,Bank Transfer,Mobile,18,600,2.6,62179.63,50.46,157,22,8.6,48.85,0,0,0,0
